label,message
ham,Meeting rescheduled to noon. Please confirm availability.
ham,"Hey, what's your plan for this weekend?"
spam,Congratulations! You've won a 100 GBP gift card. Click here: bit.ly/free-win
spam,🎁 You’re chosen to receive a laptop. Collect at bit.ly/free-win
spam,"Limited time offer! Buy one gift box, get one free. Visit: tinyurl.com/claimnow"
ham,Just checking in. How's everything going with you?
spam,You've been selected! Redeem your prize now at bit.ly/free-win
spam,You have been selected for a free vacation to the Maldives. Confirm now at bit.ly/free-win
spam,Your mobile number has won 100 USD. Contact us at clicknow.com/deal
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Reminder: Team meeting scheduled for tomorrow at noon.
spam,Hey there! Want to make $5000/week from home? DM me now!
spam,Congratulations! You've won a 5000 EUR gift card. Click here: clicknow.com/deal
spam,You are the lucky winner of our holiday sweepstakes! Confirm at offer.link/win
ham,"Hi Arbaz, your subscription has been renewed successfully."
ham,Thanks for the help earlier. Really appreciate it!
ham,"Balance alert: Your account balance is ₹5,432.23."
spam,Claim your free gift box now. Limited time offer: tinyurl.com/claimnow
spam,Free Netflix account for 1 year. Join here: offer.link/win
ham,Your package has been delivered. Check your doorstep.
ham,Meeting rescheduled to 3 PM. Please confirm availability.
ham,"Hey, are we still meeting at 3 PM today?"
spam,Congratulations! You've won a 100 USD gift card. Click here: bit.ly/free-win
spam,You’re approved for a loan up to 5000 INR. Apply at clicknow.com/deal
spam,Act fast! 1000 USD gift offer expires soon. offer.link/win
spam,This is not a scam! Claim your inheritance now: tinyurl.com/claimnow
ham,Can you send me that PDF when you're done?
spam,Final notice: You're eligible for a tax refund. Submit details at clicknow.com/deal
ham,Dinner plans confirmed at Goa for tonight!
ham,"Hi Arbaz, your subscription has been renewed successfully."
spam,Win a 100 GBP cash prize. Act fast! bit.ly/free-win
ham,Reminder: Team meeting scheduled for tomorrow at 10 AM.
spam,You’re approved for a loan up to 100 USD. Apply at offer.link/win
spam,Congratulations! You have been selected for a VIP membership. Click: bit.ly/free-win
spam,You’re approved for a loan up to 100 GBP. Apply at bit.ly/free-win
ham,Let’s book tickets for the movie tonight.
ham,"Hey, are we still meeting at 3 PM today?"
spam,You've been selected! Redeem your prize now at offer.link/win
spam,URGENT: Your account has been suspended. Restore access at clicknow.com/deal
spam,URGENT: Your account has been suspended. Restore access at clicknow.com/deal
ham,Meeting rescheduled to 10 AM. Please confirm availability.
ham,What time are we leaving for the airport?
spam,This is not a scam! Claim your inheritance now: offer.link/win
spam,Act now to secure your free trial of headphones. Offer expires today!
ham,Don't forget to pick up groceries on your way home.
ham,Your package has been delivered. Check your doorstep.
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,URGENT: Your account has been suspended. Restore access at bit.ly/free-win
spam,You have been selected for a free vacation to Bali. Confirm now at bit.ly/free-win
spam,You’re approved for a loan up to 1000 GBP. Apply at clicknow.com/deal
ham,Your package has been delivered. Check your doorstep.
spam,Your OTP is 875321. Do not share it with anyone. -BankAlert
spam,Act now to secure your free trial of headphones. Offer expires today!
spam,"Limited time offer! Buy one iPhone, get one free. Visit: offer.link/win"
spam,Final notice: You're eligible for a tax refund. Submit details at clicknow.com/deal
ham,What time are we leaving for the airport?
spam,You have been selected for a free vacation to Bali. Confirm now at bit.ly/free-win
spam,Your mobile number has won 500 GBP. Contact us at offer.link/win
spam,Hey there! Want to make $5000/week from home? DM me now!
spam,You have been selected for a free vacation to the Maldives. Confirm now at bit.ly/free-win
spam,You are the lucky winner of our holiday sweepstakes! Confirm at bit.ly/free-win
spam,Win a 1000 USD cash prize. Act fast! bit.ly/free-win
spam,Claim your free iPhone now. Limited time offer: tinyurl.com/claimnow
spam,You have been selected for a free vacation to Paris. Confirm now at clicknow.com/deal
ham,Your package has been delivered. Check your doorstep.
ham,"Hey, are we still meeting at 10 AM today?"
ham,Let's catch up over lunch tomorrow!
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,Free Netflix account for 1 year. Join here: offer.link/win
ham,"Hi Arbaz, your subscription has been renewed successfully."
spam,Hey there! Want to make $5000/week from home? DM me now!
ham,"Hey, are we still meeting at 10 AM today?"
spam,You've been selected! Redeem your prize now at offer.link/win
spam,Your mobile number has won 1000 GBP. Contact us at tinyurl.com/claimnow
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,URGENT: Your account has been suspended. Restore access at clicknow.com/deal
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,"Limited time offer! Buy one gift box, get one free. Visit: bit.ly/free-win"
spam,"Limited time offer! Buy one iPhone, get one free. Visit: bit.ly/free-win"
spam,Act now to secure your free trial of gift box. Offer expires today!
ham,Your package has been delivered. Check your doorstep.
spam,"Dear user, your account will be deactivated. Verify immediately at bit.ly/free-win"
spam,Act now to secure your free trial of iPhone. Offer expires today!
ham,Just checking in. How's everything going with you?
spam,Special offer: 1000 INR gift card for you. Click tinyurl.com/claimnow
spam,You've received a special gift. Confirm at offer.link/win
spam,Pay ₹50 today and win a smartphone. Limited time only! bit.ly/free-win
ham,"Hi! I'm running 10 minutes late, be there soon."
ham,Please find the attached invoice for this month's services.
spam,You are the lucky winner of our holiday sweepstakes! Confirm at offer.link/win
ham,Your package has been delivered. Check your doorstep.
ham,Meeting rescheduled to 10 AM. Please confirm availability.
ham,Let’s book tickets for the movie tonight.
ham,Newsletter: Top productivity tips for remote workers inside!
spam,You've been selected! Redeem your prize now at tinyurl.com/claimnow
spam,URGENT: Your account has been suspended. Restore access at offer.link/win
ham,Your order #4563 has been shipped and will arrive by Monday.
ham,What time are we leaving for the airport?
spam,"Limited time offer! Buy one iPhone, get one free. Visit: clicknow.com/deal"
ham,Don't forget to pick up groceries on your way home.
spam,Act now to secure your free trial of laptop. Offer expires today!
ham,Meeting rescheduled to 5:30 PM. Please confirm availability.
spam,This is not a scam! Claim your inheritance now: tinyurl.com/claimnow
ham,"Hi Arbaz, your subscription has been renewed successfully."
spam,You have been selected for a free vacation to the Maldives. Confirm now at offer.link/win
spam,Act now to secure your free trial of gift box. Offer expires today!
spam,You’re approved for a loan up to 100 USD. Apply at tinyurl.com/claimnow
spam,URGENT: Your account has been suspended. Restore access at tinyurl.com/claimnow
spam,Get 1000 followers instantly for free. Just click bit.ly/free-win
spam,URGENT: Your account has been suspended. Restore access at clicknow.com/deal
spam,Hey there! Want to make $5000/week from home? DM me now!
spam,Act now to secure your free trial of headphones. Offer expires today!
spam,You have been selected for a free vacation to Goa. Confirm now at offer.link/win
spam,This is not a scam! Claim your inheritance now: offer.link/win
spam,"Limited time offer! Buy one laptop, get one free. Visit: bit.ly/free-win"
ham,"Hey, what's your plan for this weekend?"
spam,Act now to secure your free trial of headphones. Offer expires today!
spam,Final notice: You're eligible for a tax refund. Submit details at clicknow.com/deal
ham,What time are we leaving for the airport?
ham,Let's catch up over lunch tomorrow!
ham,Reminder: Team meeting scheduled for tomorrow at noon.
spam,You’re approved for a loan up to 100 GBP. Apply at offer.link/win
spam,You've been selected! Redeem your prize now at tinyurl.com/claimnow
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,Hey there! Want to make $5000/week from home? DM me now!
ham,"Hey, are we still meeting at noon today?"
spam,This is not a scam! Claim your inheritance now: offer.link/win
ham,"Hey, what's your plan for this weekend?"
ham,Can you send me the notes from yesterday's class?
spam,You've been selected! Redeem your prize now at bit.ly/free-win
ham,Please find the attached invoice for this month's services.
spam,Your mobile number has won 1000 USD. Contact us at bit.ly/free-win
ham,Please find the attached invoice for this month's services.
ham,Reminder: Team meeting scheduled for tomorrow at 10 AM.
spam,Free prize alert! Claim your headphones now. Go to offer.link/win
spam,Act fast! 5000 INR gift offer expires soon. bit.ly/free-win
spam,Claim your free laptop now. Limited time offer: offer.link/win
ham,Newsletter: Top productivity tips for remote workers inside!
ham,Just checking in. How's everything going with you?
spam,This is not a scam! Claim your inheritance now: tinyurl.com/claimnow
spam,Get 1000 followers instantly for free. Just click clicknow.com/deal
spam,Win a 100 EUR cash prize. Act fast! offer.link/win
ham,Meeting rescheduled to 5:30 PM. Please confirm availability.
spam,You've been selected! Redeem your prize now at offer.link/win
ham,Thanks for the help earlier. Really appreciate it!
spam,"Limited time offer! Buy one iPhone, get one free. Visit: bit.ly/free-win"
ham,Just checking in. How's everything going with you?
ham,Let's catch up over lunch tomorrow!
spam,Final notice: You're eligible for a tax refund. Submit details at clicknow.com/deal
ham,Just checking in. How's everything going with you?
ham,"Hey, are we still meeting at 10 AM today?"
ham,Can you send me the notes from yesterday's class?
ham,Your package has been delivered. Check your doorstep.
spam,Your mobile number has won 1000 USD. Contact us at offer.link/win
ham,What time are we leaving for the airport?
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Let's catch up over lunch tomorrow!
spam,Lucky winner! Free headphones just for you. Click clicknow.com/deal
spam,Congratulations! You've won a 5000 EUR gift card. Click here: clicknow.com/deal
spam,You’re approved for a loan up to 500 GBP. Apply at tinyurl.com/claimnow
spam,URGENT: Your account has been suspended. Restore access at offer.link/win
spam,Get 1000 followers instantly for free. Just click clicknow.com/deal
spam,Win a 100 USD cash prize. Act fast! bit.ly/free-win
spam,Join our exclusive crypto airdrop today. Limited slots: offer.link/win
spam,You've been selected! Redeem your prize now at bit.ly/free-win
ham,Just checking in. How's everything going with you?
ham,Thanks for the help earlier. Really appreciate it!
spam,Congratulations! You've won a 1000 GBP gift card. Click here: offer.link/win
spam,You’re approved for a loan up to 1000 USD. Apply at clicknow.com/deal
spam,Congratulations! You've won a 500 EUR gift card. Click here: tinyurl.com/claimnow
ham,What time are we leaving for the airport?
spam,"Limited time offer! Buy one headphones, get one free. Visit: tinyurl.com/claimnow"
spam,You have been selected for a free vacation to the Maldives. Confirm now at bit.ly/free-win
spam,Special offer: 100 EUR gift card for you. Click tinyurl.com/claimnow
ham,"Balance alert: Your account balance is ₹5,432.23."
ham,Don't forget to pick up groceries on your way home.
ham,Your order #4563 has been shipped and will arrive by Monday.
spam,You are the lucky winner of our holiday sweepstakes! Confirm at bit.ly/free-win
ham,What time are we leaving for the airport?
spam,You've been selected! Redeem your prize now at clicknow.com/deal
ham,"Hi Arbaz, your subscription has been renewed successfully."
ham,"Balance alert: Your account balance is ₹5,432.23."
ham,Meeting rescheduled to 3 PM. Please confirm availability.
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,Congratulations! You have been selected for a VIP membership. Click: bit.ly/free-win
ham,Can you send me that PDF when you're done?
spam,You have been selected for a free vacation to Bali. Confirm now at tinyurl.com/claimnow
ham,Can you send me the notes from yesterday's class?
ham,"Hey, what's your plan for this weekend?"
ham,"Hi Arbaz, your subscription has been renewed successfully."
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,"Limited time offer! Buy one iPhone, get one free. Visit: offer.link/win"
spam,You've been selected! Redeem your prize now at offer.link/win
spam,Claim your free laptop now. Limited time offer: tinyurl.com/claimnow
spam,You have been selected for a free vacation to Bali. Confirm now at tinyurl.com/claimnow
spam,Free trial of our antivirus software ends soon. Renew now at bit.ly/free-win
ham,Meeting rescheduled to 3 PM. Please confirm availability.
spam,Hey there! Want to make $5000/week from home? DM me now!
spam,Free trial of our antivirus software ends soon. Renew now at clicknow.com/deal
ham,Your package has been delivered. Check your doorstep.
ham,Don't forget to pick up groceries on your way home.
ham,Just checking in. How's everything going with you?
spam,Free trial of our antivirus software ends soon. Renew now at bit.ly/free-win
spam,"Dear user, your account will be deactivated. Verify immediately at offer.link/win"
ham,"Hey, what's your plan for this weekend?"
spam,"Dear user, your account will be deactivated. Verify immediately at tinyurl.com/claimnow"
spam,This is not a scam! Claim your inheritance now: offer.link/win
ham,Let’s book tickets for the movie tonight.
spam,"Limited time offer! Buy one laptop, get one free. Visit: tinyurl.com/claimnow"
spam,Get 1000 followers instantly for free. Just click offer.link/win
ham,Your package has been delivered. Check your doorstep.
spam,Congratulations! You've won a 1000 USD gift card. Click here: offer.link/win
spam,Act now to secure your free trial of headphones. Offer expires today!
spam,Your mobile number has won 5000 USD. Contact us at clicknow.com/deal
ham,Meeting rescheduled to 3 PM. Please confirm availability.
ham,Don't forget to pick up groceries on your way home.
spam,Your mobile number has won 1000 USD. Contact us at bit.ly/free-win
spam,Hey there! Want to make $5000/week from home? DM me now!
ham,Thanks for the help earlier. Really appreciate it!
ham,Meeting rescheduled to noon. Please confirm availability.
ham,What time are we leaving for the airport?
spam,Congratulations! You've won a 100 GBP gift card. Click here: tinyurl.com/claimnow
ham,Your package has been delivered. Check your doorstep.
ham,Your order #4563 has been shipped and will arrive by Monday.
ham,"Hi! I'm running 10 minutes late, be there soon."
spam,You’re approved for a loan up to 500 USD. Apply at bit.ly/free-win
spam,Free Netflix account for 1 year. Join here: clicknow.com/deal
ham,Don't forget to pick up groceries on your way home.
ham,Your package has been delivered. Check your doorstep.
ham,Newsletter: Top productivity tips for remote workers inside!
ham,"Hey, what's your plan for this weekend?"
ham,Just checking in. How's everything going with you?
spam,Hey there! Want to make $5000/week from home? DM me now!
spam,"Limited time offer! Buy one laptop, get one free. Visit: offer.link/win"
ham,Let's catch up over lunch tomorrow!
spam,"Limited time offer! Buy one iPhone, get one free. Visit: clicknow.com/deal"
spam,Pay ₹50 today and win a smartphone. Limited time only! tinyurl.com/claimnow
spam,Congratulations! You've won a 1000 USD gift card. Click here: tinyurl.com/claimnow
ham,"Hi Arbaz, your subscription has been renewed successfully."
ham,Please find the attached invoice for this month's services.
ham,Can you send me the notes from yesterday's class?
spam,Act now to secure your free trial of headphones. Offer expires today!
spam,Hey there! Want to make $5000/week from home? DM me now!
spam,You have been selected for a free vacation to the Maldives. Confirm now at bit.ly/free-win
ham,Dinner plans confirmed at the Maldives for tonight!
ham,Dinner plans confirmed at Goa for tonight!
ham,Don't forget to pick up groceries on your way home.
spam,Free Netflix account for 1 year. Join here: bit.ly/free-win
ham,"Hi Arbaz, your subscription has been renewed successfully."
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Can you send me the notes from yesterday's class?
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,What time are we leaving for the airport?
ham,Meeting rescheduled to 10 AM. Please confirm availability.
ham,Can you send me the notes from yesterday's class?
ham,"Hey, are we still meeting at 3 PM today?"
spam,You’re approved for a loan up to 5000 USD. Apply at tinyurl.com/claimnow
spam,This is not a scam! Claim your inheritance now: bit.ly/free-win
spam,Your OTP is 875321. Do not share it with anyone. -BankAlert
ham,Let's catch up over lunch tomorrow!
spam,You have been selected for a free vacation to Paris. Confirm now at clicknow.com/deal
ham,What time are we leaving for the airport?
spam,Win a 5000 GBP cash prize. Act fast! clicknow.com/deal
spam,Act now to secure your free trial of iPhone. Offer expires today!
ham,Can you send me the notes from yesterday's class?
spam,Your mobile number has won 5000 GBP. Contact us at clicknow.com/deal
spam,"Limited time offer! Buy one laptop, get one free. Visit: bit.ly/free-win"
spam,Final notice: You're eligible for a tax refund. Submit details at clicknow.com/deal
ham,Newsletter: Top productivity tips for remote workers inside!
spam,Join our exclusive crypto airdrop today. Limited slots: bit.ly/free-win
ham,Can you send me that PDF when you're done?
ham,"Hi Arbaz, your subscription has been renewed successfully."
spam,"Limited time offer! Buy one iPhone, get one free. Visit: bit.ly/free-win"
spam,You’re approved for a loan up to 5000 USD. Apply at clicknow.com/deal
spam,You’re approved for a loan up to 5000 EUR. Apply at tinyurl.com/claimnow
spam,Claim your free laptop now. Limited time offer: clicknow.com/deal
spam,You have been selected for a free vacation to the Maldives. Confirm now at tinyurl.com/claimnow
ham,Newsletter: Top productivity tips for remote workers inside!
spam,You have been selected for a free vacation to Paris. Confirm now at offer.link/win
spam,Congratulations! You've won a 500 USD gift card. Click here: clicknow.com/deal
ham,Don't forget to pick up groceries on your way home.
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,"Hey, are we still meeting at 3 PM today?"
ham,Can you send me that PDF when you're done?
spam,Congratulations! You have been selected for a VIP membership. Click: tinyurl.com/claimnow
ham,"Hey, are we still meeting at 10 AM today?"
ham,What time are we leaving for the airport?
ham,Don't forget to pick up groceries on your way home.
spam,"Limited time offer! Buy one laptop, get one free. Visit: tinyurl.com/claimnow"
spam,Win a 500 INR cash prize. Act fast! clicknow.com/deal
ham,Let's catch up over lunch tomorrow!
spam,Pay ₹50 today and win a smartphone. Limited time only! clicknow.com/deal
ham,What time are we leaving for the airport?
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Dinner plans confirmed at Goa for tonight!
spam,Free trial of our antivirus software ends soon. Renew now at clicknow.com/deal
ham,Meeting rescheduled to 3 PM. Please confirm availability.
ham,What time are we leaving for the airport?
ham,Dinner plans confirmed at Goa for tonight!
spam,Get your bonus gift today: iPhone for free at bit.ly/free-win
ham,Meeting rescheduled to noon. Please confirm availability.
spam,You've been selected! Redeem your prize now at offer.link/win
ham,Reminder: Team meeting scheduled for tomorrow at 5:30 PM.
spam,Win a 1000 EUR cash prize. Act fast! bit.ly/free-win
ham,Please find the attached invoice for this month's services.
spam,Congratulations! You've won a 5000 USD gift card. Click here: bit.ly/free-win
spam,Final notice: You're eligible for a tax refund. Submit details at offer.link/win
spam,You've been selected! Redeem your prize now at clicknow.com/deal
spam,You are the lucky winner of our holiday sweepstakes! Confirm at clicknow.com/deal
ham,Just checking in. How's everything going with you?
spam,Final notice: You're eligible for a tax refund. Submit details at bit.ly/free-win
spam,URGENT: Your account has been suspended. Restore access at clicknow.com/deal
spam,Act now to secure your free trial of laptop. Offer expires today!
ham,Can you send me the notes from yesterday's class?
ham,"Hey, what's your plan for this weekend?"
ham,Can you send me the notes from yesterday's class?
ham,What time are we leaving for the airport?
spam,You are the lucky winner of our holiday sweepstakes! Confirm at clicknow.com/deal
spam,You've been selected! Redeem your prize now at offer.link/win
ham,Meeting rescheduled to noon. Please confirm availability.
spam,Final notice: You're eligible for a tax refund. Submit details at clicknow.com/deal
ham,Your package has been delivered. Check your doorstep.
ham,Let's catch up over lunch tomorrow!
ham,"Balance alert: Your account balance is ₹5,432.23."
spam,Your mobile number has won 100 INR. Contact us at tinyurl.com/claimnow
ham,Meeting rescheduled to noon. Please confirm availability.
ham,Let’s book tickets for the movie tonight.
spam,Hey there! Want to make $5000/week from home? DM me now!
spam,Pay ₹50 today and win a smartphone. Limited time only! bit.ly/free-win
ham,Let's catch up over lunch tomorrow!
ham,Reminder: Team meeting scheduled for tomorrow at noon.
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,What time are we leaving for the airport?
spam,Your mobile number has won 100 USD. Contact us at tinyurl.com/claimnow
spam,You’re approved for a loan up to 100 GBP. Apply at bit.ly/free-win
spam,You’re approved for a loan up to 500 INR. Apply at clicknow.com/deal
ham,Meeting rescheduled to 10 AM. Please confirm availability.
spam,Final notice: You're eligible for a tax refund. Submit details at tinyurl.com/claimnow
ham,"Hi Arbaz, your subscription has been renewed successfully."
spam,Final notice: You're eligible for a tax refund. Submit details at offer.link/win
ham,Just checking in. How's everything going with you?
ham,Let's catch up over lunch tomorrow!
spam,Get 1000 followers instantly for free. Just click offer.link/win
ham,What time are we leaving for the airport?
spam,Pay ₹50 today and win a smartphone. Limited time only! offer.link/win
ham,Dinner plans confirmed at Paris for tonight!
ham,"Hi Arbaz, your subscription has been renewed successfully."
ham,"Hey, are we still meeting at noon today?"
spam,Win a 500 INR cash prize. Act fast! clicknow.com/deal
ham,Your package has been delivered. Check your doorstep.
spam,Claim your free iPhone now. Limited time offer: tinyurl.com/claimnow
spam,You have been selected for a free vacation to Bali. Confirm now at bit.ly/free-win
spam,URGENT: Your account has been suspended. Restore access at bit.ly/free-win
spam,Congratulations! You've won a 100 USD gift card. Click here: offer.link/win
spam,Win a 1000 EUR cash prize. Act fast! offer.link/win
ham,Call me when you're free. Need to discuss something important.
spam,You’re approved for a loan up to 5000 USD. Apply at bit.ly/free-win
ham,Thanks for the help earlier. Really appreciate it!
ham,What time are we leaving for the airport?
spam,URGENT: Your account has been suspended. Restore access at bit.ly/free-win
ham,Call me when you're free. Need to discuss something important.
ham,What time are we leaving for the airport?
spam,Pay ₹50 today and win a smartphone. Limited time only! offer.link/win
ham,What time are we leaving for the airport?
ham,Don't forget to pick up groceries on your way home.
spam,You've been selected! Redeem your prize now at clicknow.com/deal
ham,Don't forget to pick up groceries on your way home.
spam,Congratulations! You have been selected for a VIP membership. Click: clicknow.com/deal
spam,Congratulations! You've won a 5000 EUR gift card. Click here: clicknow.com/deal
ham,Dinner plans confirmed at the Maldives for tonight!
spam,You've been selected! Redeem your prize now at bit.ly/free-win
spam,You've been selected! Redeem your prize now at clicknow.com/deal
ham,"Hey, are we still meeting at 10 AM today?"
spam,Hey there! Want to make $5000/week from home? DM me now!
ham,Your package has been delivered. Check your doorstep.
spam,Free Netflix account for 1 year. Join here: offer.link/win
ham,Dinner plans confirmed at Goa for tonight!
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,You’re approved for a loan up to 5000 GBP. Apply at offer.link/win
spam,URGENT: Your account has been suspended. Restore access at offer.link/win
ham,Can you send me that PDF when you're done?
spam,You’re approved for a loan up to 5000 GBP. Apply at tinyurl.com/claimnow
spam,Act now to secure your free trial of iPhone. Offer expires today!
spam,Your mobile number has won 500 EUR. Contact us at bit.ly/free-win
ham,Just checking in. How's everything going with you?
ham,Just checking in. How's everything going with you?
ham,Let's catch up over lunch tomorrow!
ham,Please find the attached invoice for this month's services.
ham,Meeting rescheduled to 3 PM. Please confirm availability.
spam,Win a 500 GBP cash prize. Act fast! bit.ly/free-win
ham,Your package has been delivered. Check your doorstep.
ham,Just checking in. How's everything going with you?
spam,You've been selected! Redeem your prize now at tinyurl.com/claimnow
ham,Meeting rescheduled to 10 AM. Please confirm availability.
spam,Claim your free headphones now. Limited time offer: offer.link/win
ham,Let's catch up over lunch tomorrow!
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,Act now to secure your free trial of headphones. Offer expires today!
spam,You've been selected! Redeem your prize now at bit.ly/free-win
spam,Congratulations! You've won a 500 GBP gift card. Click here: offer.link/win
spam,"Limited time offer! Buy one iPhone, get one free. Visit: offer.link/win"
ham,"Hey, what's your plan for this weekend?"
spam,Claim your free headphones now. Limited time offer: bit.ly/free-win
spam,"Limited time offer! Buy one headphones, get one free. Visit: clicknow.com/deal"
ham,What time are we leaving for the airport?
spam,Your mobile number has won 100 GBP. Contact us at clicknow.com/deal
spam,Free trial of our antivirus software ends soon. Renew now at bit.ly/free-win
ham,"Hey, are we still meeting at 3 PM today?"
ham,Call me when you're free. Need to discuss something important.
ham,What time are we leaving for the airport?
ham,Your package has been delivered. Check your doorstep.
ham,Don't forget to pick up groceries on your way home.
spam,This is not a scam! Claim your inheritance now: clicknow.com/deal
spam,🎁 You’re chosen to receive a laptop. Collect at bit.ly/free-win
ham,Dinner plans confirmed at Paris for tonight!
spam,"Limited time offer! Buy one iPhone, get one free. Visit: bit.ly/free-win"
spam,"Dear user, your account will be deactivated. Verify immediately at clicknow.com/deal"
ham,Don't forget to pick up groceries on your way home.
spam,You've been selected! Redeem your prize now at clicknow.com/deal
ham,Dinner plans confirmed at Goa for tonight!
ham,Please find the attached invoice for this month's services.
ham,Just checking in. How's everything going with you?
spam,URGENT: Your account has been suspended. Restore access at tinyurl.com/claimnow
spam,Your OTP is 875321. Do not share it with anyone. -BankAlert
spam,Your mobile number has won 5000 GBP. Contact us at bit.ly/free-win
spam,Exclusive deal: Free headphones inside. Tap here: tinyurl.com/claimnow
ham,Let's catch up over lunch tomorrow!
spam,You've been selected! Redeem your prize now at bit.ly/free-win
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,"Hey, are we still meeting at noon today?"
ham,"Hey, are we still meeting at 10 AM today?"
ham,"Hey, what's your plan for this weekend?"
ham,Thanks for the help earlier. Really appreciate it!
spam,Win a 500 USD cash prize. Act fast! clicknow.com/deal
spam,You’re approved for a loan up to 100 EUR. Apply at offer.link/win
ham,Call me when you're free. Need to discuss something important.
ham,Your package has been delivered. Check your doorstep.
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,What time are we leaving for the airport?
ham,Let's catch up over lunch tomorrow!
spam,Hey there! Want to make $5000/week from home? DM me now!
ham,Let's catch up over lunch tomorrow!
spam,Your OTP is 875321. Do not share it with anyone. -BankAlert
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Don't forget to pick up groceries on your way home.
ham,"Hey, are we still meeting at noon today?"
spam,Win a 5000 USD cash prize. Act fast! tinyurl.com/claimnow
ham,"Hey, are we still meeting at 10 AM today?"
spam,You have been selected for a free vacation to Bali. Confirm now at tinyurl.com/claimnow
spam,"Dear user, your account will be deactivated. Verify immediately at tinyurl.com/claimnow"
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Meeting rescheduled to 5:30 PM. Please confirm availability.
ham,Let's catch up over lunch tomorrow!
spam,"Dear user, your account will be deactivated. Verify immediately at tinyurl.com/claimnow"
ham,Let's catch up over lunch tomorrow!
ham,Can you send me the notes from yesterday's class?
ham,Meeting rescheduled to noon. Please confirm availability.
spam,You've been selected! Redeem your prize now at clicknow.com/deal
ham,Don't forget to pick up groceries on your way home.
spam,"Dear user, your account will be deactivated. Verify immediately at tinyurl.com/claimnow"
ham,"Hi Arbaz, your subscription has been renewed successfully."
spam,URGENT: Your account has been suspended. Restore access at bit.ly/free-win
spam,Act now to secure your free trial of laptop. Offer expires today!
spam,"Dear user, your account will be deactivated. Verify immediately at bit.ly/free-win"
spam,Congratulations! You've won a 5000 INR gift card. Click here: offer.link/win
spam,"Dear user, your account will be deactivated. Verify immediately at offer.link/win"
spam,"Dear user, your account will be deactivated. Verify immediately at offer.link/win"
spam,You are the lucky winner of our holiday sweepstakes! Confirm at bit.ly/free-win
ham,Can you send me that PDF when you're done?
spam,Free Netflix account for 1 year. Join here: clicknow.com/deal
spam,You have been selected for a free vacation to Bali. Confirm now at clicknow.com/deal
spam,Congratulations! You have been selected for a VIP membership. Click: tinyurl.com/claimnow
spam,You’re approved for a loan up to 500 EUR. Apply at tinyurl.com/claimnow
spam,"Limited time offer! Buy one iPhone, get one free. Visit: clicknow.com/deal"
spam,You’re approved for a loan up to 100 INR. Apply at bit.ly/free-win
ham,"Hey, are we still meeting at 3 PM today?"
spam,URGENT: Your account has been suspended. Restore access at bit.ly/free-win
ham,Reminder: Team meeting scheduled for tomorrow at 10 AM.
spam,Lucky winner! Free iPhone just for you. Click offer.link/win
ham,Your order #4563 has been shipped and will arrive by Monday.
ham,Dinner plans confirmed at the Maldives for tonight!
spam,Claim your free iPhone now. Limited time offer: bit.ly/free-win
ham,"Balance alert: Your account balance is ₹5,432.23."
ham,Can you send me the notes from yesterday's class?
spam,Win a 500 GBP cash prize. Act fast! tinyurl.com/claimnow
spam,Claim your free gift box now. Limited time offer: bit.ly/free-win
spam,URGENT: Your account has been suspended. Restore access at bit.ly/free-win
ham,Dinner plans confirmed at Goa for tonight!
ham,Don't forget to pick up groceries on your way home.
ham,Can you send me the notes from yesterday's class?
spam,Your mobile number has won 100 USD. Contact us at bit.ly/free-win
ham,Please find the attached invoice for this month's services.
spam,Free trial of our antivirus software ends soon. Renew now at clicknow.com/deal
spam,Your OTP is 875321. Do not share it with anyone. -BankAlert
ham,Your package has been delivered. Check your doorstep.
spam,You have been selected for a free vacation to Bali. Confirm now at clicknow.com/deal
ham,"Hey, are we still meeting at 5:30 PM today?"
ham,Please find the attached invoice for this month's services.
spam,Claim your free headphones now. Limited time offer: tinyurl.com/claimnow
ham,"Hey, are we still meeting at 3 PM today?"
ham,Let's catch up over lunch tomorrow!
spam,Act now to secure your free trial of iPhone. Offer expires today!
spam,Free Netflix account for 1 year. Join here: clicknow.com/deal
spam,Win a 1000 INR cash prize. Act fast! offer.link/win
ham,Please find the attached invoice for this month's services.
ham,What time are we leaving for the airport?
spam,Act now to secure your free trial of iPhone. Offer expires today!
